"","date","pce_serv","pce_nondur","pce_price_index","pop","nom_dpi","nom_pce_serv_nondur","real_serv_nondur","real_dpi","real_serv_nondur_pc_lag0","real_serv_nondur_pc_lag1","real_serv_nondur_pc_lag2","real_serv_nondur_pc_lag3","real_serv_nondur_pc_lag4","real_dpi_pc_lag0","real_dpi_pc_lag1","real_dpi_pc_lag2","real_dpi_pc_lag3","real_dpi_pc_lag4"
"153",1998-01-01,3676.961,1306.679,70.715,204395,6420.33333333333,4983.64,7047.50053029767,9079.16755049612,34479.8088519664,34163.360890016,33878.1348157229,33483.1880888155,33307.8310678854,44419.7145257767,43592.5803841068,43078.7509116904,42686.5042493234,42414.3118962113
"154",1998-04-01,3743.404,1319.925,70.843,204905,6522.03333333333,5063.329,7147.25378654207,9206.32007867162,34880.81689828,34479.8088519664,34163.360890016,33878.1348157229,33483.1880888155,44929.6995128065,44419.7145257767,43592.5803841068,43078.7509116904,42686.5042493234
"155",1998-07-01,3806.982,1334.82,71.062,205482.666666667,6607.16666666667,5141.802,7235.65618755453,9297.74938316775,35212.975891987,34880.81689828,34479.8088519664,34163.360890016,33878.1348157229,45248.3391129556,44929.6995128065,44419.7145257767,43592.5803841068,43078.7509116904
"156",1998-10-01,3847.889,1355.16,71.249,206097.666666667,6674.13333333333,5203.049,7302.62740529692,9367.33614974713,35432.8485295657,35212.975891987,34880.81689828,34479.8088519664,34163.360890016,45450.9568266847,45248.3391129556,44929.6995128065,44419.7145257767,43592.5803841068
"157",1999-01-01,3897.147,1384.945,71.39,206876,6758.7,5282.092,7398.9242190783,9467.29233786245,35765.0197175037,35432.8485295657,35212.975891987,34880.81689828,34479.8088519664,45763.1254367952,45450.9568266847,45248.3391129556,44929.6995128065,44419.7145257767
"158",1999-04-01,3957.569,1418.268,71.796,207431.666666667,6801.66666666667,5375.837,7487.65530113098,9473.60112912511,36096.9731452011,35765.0197175037,35432.8485295657,35212.975891987,34880.81689828,45670.9492883204,45763.1254367952,45450.9568266847,45248.3391129556,44929.6995128065
"159",1999-07-01,4024.047,1440.071,72.191,208043.666666667,6887.36666666667,5464.118,7568.97397182474,9540.47826829753,36381.6601249966,36096.9731452011,35765.0197175037,35432.8485295657,35212.975891987,45858.0567299054,45670.9492883204,45763.1254367952,45450.9568266847,45248.3391129556
"160",1999-10-01,4108.02,1482.69,72.629,208660.333333333,7019,5590.71,7697.62766938826,9664.18372826281,36890.7091559724,36381.6601249966,36096.9731452011,35765.0197175037,35432.8485295657,46315.3852669465,45858.0567299054,45670.9492883204,45763.1254367952,45450.9568266847
"161",2000-01-01,4205.131,1492.211,73.219,211586,7199.6,5697.342,7781.23437905462,9832.96685286606,36775.7525500488,36890.7091559724,36381.6601249966,36096.9731452011,35765.0197175037,46472.6723548158,46315.3852669465,45858.0567299054,45670.9492883204,45763.1254367952
"162",2000-04-01,4274.861,1535.118,73.568,212242,7319.56666666667,5809.979,7897.42687037842,9949.38922720023,37209.5385002894,36775.7525500488,36890.7091559724,36381.6601249966,36096.9731452011,46877.5700719002,46472.6723548158,46315.3852669465,45858.0567299054,45670.9492883204
